Feature ID	Taxon
MW342948	A;A.1
MW342976	A;A.2
MW342986	A;A.2
MW343041	A;A.2
MW343050	A;A.2
MW368115	A;A.2
MW368127	A;A.2
MW368136.1	A;A.2
MW368152	B;B
MW368159	B;B
MW368163	B;B
MW368172	B;B
MW368189	B;B
MW368199	B;B
MW368212	B;B
MW377093	A;A.1
MW377125	A;A.2
MW449702	A;A.1
MW449711	A;A.2
MW449723	A;A.2
MW449743	A;A.2
MW449745	A;A.2
MW449755	A;A.1
MW461169	A;A.2
MW461246	A;A.2
MZ073675	A;A.2
MZ073704	A;A.2
MZ073707	B;B
MZ130116	A;A.2
MZ130124	A;A.2
MZ467426	A;A.1
MZ614304	A;A.1
MZ669792	A;A.2
MZ669804	A;A.2
OK415747	A;A.1
OK415783	A;A.1
ON130363	A;A.2
ON130377	A;A.1
ON130388	A;A.1
OQ604625	B;B
OR566401	A;A.2
QW38018.1	A;A.2
Nitrospiraceae_sp._WB-IL-04	B;B
MG_DWTP_Breehei_FPELJOIP_4516650	B;B
Nitrospira_sp._RSF15-CG24B	A;A.1
Ga0063230_117693262_wetland	B;B
Nitrospiraceae_sp._Hainich-H41-bin170_1	B;B
Ga0003070_J53073_1018-groundwater	B;B
Ga0003070_J53073_1015-groundwater	B;B
Nitrospira_sp._SG-bin2	A;A.2
Nitrospira_sp._YR-LS	A;A.2
Ga0005851_10245761-LakeErie	A;A.1
Nitrospira_sp._Nzgw279	B;B
Nitrospira_sp._YR-PS	A;A.2
CP047423.1_Candidatus_ Nitrospira_kreftii	A;A.2
Nitrospira_sp._AMP-bin1	A;A.1
Nitrospirae_sp._NC_groundwater2002	A;A.1
Nitrospira_sp._Bin_49_4	A;A.1
Nitrospira_sp._MDeepCast65m	A;A.2
Ga0003068_J53076_1013-groundwater	B;B
Ga0032355_10975091-rhizosphere	B;B
Nitrospirae_sp._F1-60-MAGs112	A;A.2
Nitrospira_sp._ACE_NIT9	A;A.1
Nitrospira_sp._UBA2083	A;A.1
Nitrospira_sp._RBC069	A;A.1
Nitrospira_sp._WS238	A;A.1
Ga0063230_118035172-wetland	A;A.2
MG_DWTP_Breehei_FPELJOIP_260459	A;A.2
Nitrospira_sp._RSF48	B;B
Nitrospira_sp._RBC001	A;A.2
Nitrospira_sp._CTRL-LIN-TMP-bin1	A;A.2
Nitrospira_sp._HGW_Hainich-H51-bin251	B;B
Nitrospira_bin10-GWW_Wolf	A;A.1
Nitrospira_bin8-GWW_Wolf	A;A.1
Nitrospira_sp._ACE_NIT10	A;A.1
Nitrospira_sp._RSF6	B;B
Nitrospira_sp._HN-bin3	A;A.1
Nitrospira_sp._RBC093	A;A.2
Nitrospira_bin1_AAU-MBR	A;A.1
Nitrospira_sp._RSF2	B;B
Ga0003070_J53073_1013-groundwater	B;B
Nitrospira_sp._YR-JJ	A;A.2
Nitrospira_sp._RL_2_10	A;A.2
Nitrospira_sp._UBA11158	A;A.1
CUS38424_Candidatus_Nitrospira_nitrosa	A;A.1
Nitrospira_sp._RSF7	B;B
Nitrospirae_sp._NCgroundwater_1886	B;B
Nitrospira_sp._YR-XLJ-3	A;A.2
Nitrospira_sp._YR-XLD	A;A.2
Nitrospira_sp._YR-WHU	A;A.2
Nitrospirae_sp._F1-140-MAGs004	A;A.2
Nitrospira_sp._Kalu18-Q3-R12-55	A;A.1
MG_DWTP_Breehei_FPELJOIP_2510483	B;B
MG_DWTP_Breeheii_FPELJOIP_852897	B;B
CUS38627_Candidatus_Nitrospira_nitrificans	A;A.1
Nitrospira_sp._AMP-bin1_2	A;A.2
Nitrospira_GEM_3300009162_39	B;B
Nitrospira_GEM_3300005466_14	B;B
Ga0003070_J53073_1006-groundwater	B;B
Nitrospira_sp._WB-IL-16	B;B
Ga0031653_100043502-freshwater	B;B
Ga0031654_100087261-freshwater	B;B
Nitrospira_sp._bin.260	A;A.2
Nitrospira_sp._ACE_NIT7	A;A.1
Nitrospira_sp._MAG-286	A;A.1
Nitrospirae_sp._F1-120	A;A.2
Nitrospira_sp._YR-WHU_2	A;A.2
Nitrospira_bin5-GWW_Wolf	A;A.1
Nitrospiraceae_sp._Hainich-H41-bin006	B;B
Nitrospira_sp._RSF1	A;A.1
Nitrospira_sp._ST-bin4	A;A.2
Nitrospira_sp._ACE_NIT11	A;A.1
Nitrospira_sp._P3D	B;B
Ga0003068_J53076_1019-groundwater	A;A.1
Nitrospira_sp._RSF9	A;A.1
Nitrospira_sp._W63.0	A;A.1
Nitrospira_GEM_3300017444_41	A;A.2
Nitrospira_sp._UBA2082	A;A.2
Ga0003072_J53071_1103-groundwater	B;B
Nitrospira_sp._RCA	A;A.3
CUQ66826_Candidatus_Nitrospira_inopinata	A;A.1
Nitrospira_sp._LK265	A;A.2
Nitrospira_sp._WS110	A;A.1
Nitrospira_sp._KAN-bin1	A;A.1
CUS31358_Candidatus_Nitrospira_nitrosa	A;A.1
Nitrospira_sp._YR-XLJ-1YR	A;A.1
Nitrospira_sp._RSF12	A;A.1
Nitrospira_sp._Bin_49_2	A;A.2
Nitrospira_sp._Ribe18-Q3-R11-54	A;A.1
Nitrospiraceae_sp._Hainich-H41-bin170_2	B;B
Nitrospira_sp._UBA7655	A;A.1
Nitrospira_sp._LK70	A;A.2
Nitrospira_MAG_237	A;A.1
Nitrospira_sp._MDeepCast50m	A;A.2
Nitrospira_sp._RCB	B;B
Ga0003072_J53071_1076-groundwater	A;A.1
Nitrospira_sp._RSF10_CG24C	B;B
Nitrospira_sp._COM-LC224	B;B
Nitrospira_sp._EFPC_84	B;B
Ga0007426_10409711-rhizosphere	B;B
Nitrospira_sp._SCGC-AG-212-E16	B;B
Nitrospira_3300027716_6	A;A.1
Nitrospira_sp._YR-XLJ-2	A;A.2
Nitrospira_binVetMed-WWTP	A;A.1
Nitrospirae_sp._L.E.N.18	B;B
Nitrospira_sp._SU_4_4	A;A.2
Nitrospira_sp._UW-LDO-01	A;A.1
Nitrospira_sp._Hade18-Q3-R52-61	A;A.1
KX024800	A;A.2
MK167293	B;B
MK167340	B;B
DQ008437	A;A.1
MF073223	A;A.1
MF347339	B;B
MH587127	A;A.1
